Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,41.431252,41.437500,40.768749,40.768749,26.552387,3600
1996-01-02,40.768749,40.687500,40.006248,40.187500,26.173830,15600
1996-01-03,24.112499,26.250000,25.500000,25.631250,16.693445,17600
1996-01-04,25.631250,25.750000,25.250000,25.500000,16.607962,8800
1996-01-05,25.500000,25.750000,25.250000,25.631250,16.693445,15200
1996-01-08,25.631250,25.437500,25.131250,25.218750,16.424788,8800
1996-01-09,25.218750,25.375000,24.381250,24.431250,15.911894,25600
1996-01-10,25.125000,25.125000,24.375000,24.843750,16.180555,14800
1996-01-11,24.843750,24.875000,24.500000,24.718750,16.099146,3600
1996-01-12,24.718750,25.375000,24.375000,25.231251,16.432928,24800
1996-01-15,25.231251,25.250000,25.000000,25.231251,16.432928,4800
1996-01-16,25.231251,25.500000,24.875000,25.368750,16.522484,7200
1996-01-17,25.368750,25.375000,25.000000,25.231251,16.432928,6400
1996-01-18,25.231251,25.625000,24.993750,25.625000,16.689381,250800
1996-01-19,25.250000,25.375000,25.006250,25.250000,16.445139,20800
1996-01-22,25.250000,25.375000,25.025000,25.250000,16.445139,24800
1996-01-23,25.250000,26.312500,25.087500,25.912500,16.876625,52000
1996-01-24,25.750000,25.875000,25.343750,25.500000,16.607962,6800
1996-01-25,25.500000,26.250000,25.250000,26.250000,17.096439,122800
1996-01-26,26.250000,26.250000,26.250000,26.250000,17.096439,0
1996-01-29,26.250000,26.625000,25.625000,26.531250,17.279610,4000
1996-01-30,26.531250,28.125000,26.112499,28.125000,18.317606,249200
1996-01-31,27.500000,28.125000,26.256250,28.125000,18.317606,100800
1996-02-01,28.125000,29.375000,27.406250,29.343750,19.111372,445200
1996-02-02,28.125000,29.187500,28.125000,29.043751,18.915985,32400
1996-02-05,29.043751,30.312500,28.500000,30.250000,19.701605,507600
1996-02-06,30.250000,30.256250,29.437500,29.950001,19.506220,68800
1996-02-07,29.950001,30.968750,29.000000,30.462500,19.840010,67600
1996-02-08,30.462500,32.000000,31.000000,31.500000,20.515722,42800
1996-02-09,31.875000,32.000000,31.375000,31.531250,20.536076,61200
1996-02-12,31.750000,32.750000,30.250000,30.956249,20.161579,38400
1996-02-13,30.625000,32.506248,30.262501,32.349998,21.069319,90800
1996-02-14,33.125000,35.375000,33.125000,34.875000,22.713835,460000
1996-02-15,34.875000,35.250000,34.062500,34.993752,22.791178,69200
1996-02-16,34.993752,34.625000,33.768749,34.337502,22.363766,55200
1996-02-19,34.337502,35.125000,33.875000,35.000000,22.795248,62400
1996-02-20,35.000000,35.381248,34.812500,35.031250,22.815599,72400
1996-02-21,35.031250,35.031250,35.031250,35.031250,22.815599,0
1996-02-22,35.031250,35.500000,35.018749,35.131248,22.880730,34400
1996-02-23,35.131248,35.593750,35.068748,35.337502,23.015059,39200
1996-02-26,35.337502,36.750000,35.625000,36.500000,23.772181,68800
1996-02-27,36.500000,37.000000,36.125000,36.843750,23.996071,42800
1996-02-28,36.843750,36.875000,35.625000,35.875000,23.365128,23600
1996-02-29,35.875000,35.437500,34.375000,34.668751,22.579508,76400
1996-03-01,34.668751,35.218750,34.506248,34.956249,22.766754,51600
1996-03-04,34.956249,35.000000,34.000000,34.037498,22.168375,28800
1996-03-05,34.037498,34.037498,34.037498,34.037498,22.168375,0
1996-03-06,34.037498,35.031250,34.312500,34.325001,22.355625,14000
1996-03-07,34.325001,35.618752,34.250000,34.299999,22.339344,16400
1996-03-08,34.299999,34.250000,33.781250,34.181252,22.262003,15600
1996-03-11,34.181252,33.125000,31.912500,32.356251,21.073393,16000
1996-03-12,32.356251,32.375000,31.687500,31.943750,20.804731,33600
